ds,air_temperature,wind_speed,precipitation_amount
2026-09-23 12:00:00+00:00,11.800000000000002,2.033333333333333,0.4
2026-09-23 15:00:00+00:00,11.6,2.4,1.6
2026-09-23 18:00:00+00:00,10.799999999999999,2.433333333333333,2.1
2026-09-23 21:00:00+00:00,10.166666666666666,2.6666666666666665,2.4
2026-09-24 00:00:00+00:00,9.733333333333333,3.1666666666666665,0.9
2026-09-24 03:00:00+00:00,9.333333333333334,2.6666666666666665,2.2
2026-09-24 06:00:00+00:00,9.299999999999999,1.5,0.5
2026-09-24 09:00:00+00:00,10.866666666666667,1.1333333333333335,0.0
2026-09-24 12:00:00+00:00,12.033333333333333,1.4000000000000001,0.0
2026-09-24 15:00:00+00:00,11.166666666666666,1.4666666666666668,0.0
2026-09-24 18:00:00+00:00,7.733333333333333,2.3333333333333335,0.0
2026-09-24 21:00:00+00:00,6.133333333333333,1.0,0.0
2026-09-25 00:00:00+00:00,5.666666666666667,1.4000000000000001,0.0
2026-09-25 03:00:00+00:00,6.6000000000000005,1.8,0.0
2026-09-25 06:00:00+00:00,8.700000000000001,0.8666666666666667,0.0
2026-09-25 09:00:00+00:00,11.866666666666667,1.4333333333333336,0.0
2026-09-25 12:00:00+00:00,12.533333333333333,0.7333333333333334,0.0
2026-09-25 15:00:00+00:00,11.866666666666667,1.0333333333333334,0.0
2026-09-25 18:00:00+00:00,11.1,1.2,0.0
2026-09-25 21:00:00+00:00,10.85,1.05,0.0
2026-09-26 00:00:00+00:00,10.6,0.9,2.7
2026-09-26 03:00:00+00:00,10.35,0.9,0.0
2026-09-26 06:00:00+00:00,10.1,0.9,1.9
2026-09-26 09:00:00+00:00,11.2,1.0,0.0
2026-09-26 12:00:00+00:00,12.3,1.1,0.0
2026-09-26 15:00:00+00:00,11.5,1.4500000000000002,0.0
2026-09-26 18:00:00+00:00,10.7,1.8,0.0
2026-09-26 21:00:00+00:00,9.649999999999999,1.6,0.0
2026-09-27 00:00:00+00:00,8.6,1.4,0.0
2026-09-27 03:00:00+00:00,8.2,1.5,0.0
2026-09-27 06:00:00+00:00,7.8,1.6,0.0
2026-09-27 09:00:00+00:00,11.65,1.85,0.0
2026-09-27 12:00:00+00:00,15.5,2.1,0.0
2026-09-27 15:00:00+00:00,14.8,3.2,0.0
2026-09-27 18:00:00+00:00,14.1,4.3,0.0
2026-09-27 21:00:00+00:00,13.25,4.35,0.0
2026-09-28 00:00:00+00:00,12.4,4.4,0.0
2026-09-28 03:00:00+00:00,12.5,4.25,0.0
2026-09-28 06:00:00+00:00,12.6,4.1,0.0
2026-09-28 09:00:00+00:00,14.05,3.8499999999999996,0.0
2026-09-28 12:00:00+00:00,15.5,3.6,0.0
2026-09-28 15:00:00+00:00,14.5,3.1500000000000004,0.0
2026-09-28 18:00:00+00:00,13.5,2.7,3.2
2026-09-28 21:00:00+00:00,12.35,2.25,0.0
2026-09-29 00:00:00+00:00,11.2,1.8,0.0
2026-09-29 03:00:00+00:00,10.95,1.85,0.0
2026-09-29 06:00:00+00:00,10.7,1.9,0.0
2026-09-29 09:00:00+00:00,13.1,2.4,0.0
2026-09-29 12:00:00+00:00,15.5,2.9,0.0
2026-09-29 15:00:00+00:00,14.8,3.4,0.0
2026-09-29 18:00:00+00:00,14.1,3.9,0.0
2026-09-29 21:00:00+00:00,13.649999999999999,3.8499999999999996,0.0
2026-09-30 00:00:00+00:00,13.2,3.8,0.0
2026-09-30 03:00:00+00:00,13.6,3.9499999999999997,0.0
2026-09-30 06:00:00+00:00,14.0,4.1,0.0
2026-09-30 09:00:00+00:00,15.95,4.25,0.0
